Coc;Marca;Volumen Total de filtraci¢n ;Extracto CO2;L£pulo Pellet  Herkules;Alpha  cidos Herkules;Catalizador isomerizaci¢n;Amargo por cocimiento
1;CLUB COLOMBIA;1000;9;28;13,4;;47,7
2;CLUB COLOMBIA;1000;9;28;13,4;;44,9
3;CLUB COLOMBIA;989;9;27;13,4;;44,6
4;CLUB COLOMBIA;995;9;28;13,4;;45,3
5;ESTANDAR 900;942;0;0;13,4;0;0
6;ESTANDAR 900;945;4;55;13,4;2250;59,85
7;ESTANDAR 900;945;4;55;13,4;2250;56,43
8;ESTANDAR 900;944;4;53;13,4;2250;52,1
9;ESTANDAR 900;945;4;55;13,4;2250;55,75
10;ESTANDAR 900;941;3;42;13,4;1800;46,51
11;ESTANDAR 900;945;3;42;13,4;1800;
12;ESTANDAR 900;942;3;42;13,4;1800;
13;ESTANDAR 900;940;3;42;13,4;1800;
14;ESTANDAR 900;945;3;42;13,4;1800;
15;ESTANDAR 18;991;4;60;13,4;2400;57,8
16;ESTANDAR 18;977;0;0;13,4;0;0
17;ESTANDAR 18;980;4;69;13,4;2400;63,61
18;ESTANDAR 18;977;4;69;13,4;2400;64,41
19;ESTANDAR 900;943;3;42;13,4;1800;
20;ESTANDAR 900;945;3;42;13,4;1800;
21;ESTANDAR 900;945;3;42;13,4;1800;
22;ESTANDAR 900;943;3;42;13,4;1800;
23;ESTANDAR 900;945;3;42;13,4;1800;
24;ESTANDAR 18;991;3;44;13,4;1800;
25;ESTANDAR 18;979;3;44;13,4;1800;
26;ESTANDAR 18;983;3;44;13,4;1800;
27;ESTANDAR 18;987;3;44;13,4;1800;
28;LIGHT 16;981;;;;;
29;LIGHT 16;973;;;;;
30;LIGHT 16;974;;;;;
31;LIGHT 16;975;;;;;
32;LIGHT 16;973;;;;;
33;LIGHT 16;965;;;;;
34;LIGHT 16;972;;;;;
35;ESTANDAR 18;1000;3;46;13,4;1800;48,11
36;ESTANDAR 18;580;3;30;13,4;1800;46,17
37;ESTANDAR 18;991;3;44;13,4;1800;45,6
38;ESTANDAR 18;960;4;65;13,4;2700;61,56
39;ESTANDAR 18;980;4;65;13,4;2700;
40;ESTANDAR 18;973;4;67;13,4;2700;63,95
41;ESTANDAR 18;979;0;0;13,4;0;0
42;AZTECA 18;1000;9;;;;
43;AZTECA 18;1000;9;;;;
44;AZTECA 18;1008;9;;;;
45;AZTECA 18;995;9;;;;
46;ESTANDAR 18;994;3;44;13,4;2000;47,2
47;ESTANDAR 18;992;3;46;13,4;1800;46,74
48;ESTANDAR 18;990;3;45;13,4;1800;45,83
49;ESTANDAR 18;987;3;46;13,4;1800;45,71
50;AZTECA 18;1005;9;;;;
51;AZTECA 18;1003;9;;;;
52;AZTECA 18;1004;9;;;;
53;AZTECA 18;1005;9;;;;
54;ESTANDAR 18;985;3;46;13,4;1800;
55;ESTANDAR 18;991;3;46;13,4;1800;
56;ESTANDAR 18;990;3;46;13,4;1800;
57;ESTANDAR 18;990;3;46;13,4;1800;
58;ESTANDAR 18;980;3;46;13,4;1800;48,56
59;ESTANDAR 18;980;3;46;13,4;1800;
60;ESTANDAR 18;980;3;44;13,4;1800;46,06
61;ESTANDAR 18;985;3;44;13,4;1800;
62;ESTANDAR 18;980;3;44;13,4;1800;47,65
63;ESTANDAR 18;980;3;44;13,4;1800;45,71
64;ESTANDAR 18;980;3;44;13,4;1800;43,78
65;ESTANDAR 18;990;3;44;13,4;1800;
66;ESTANDAR 18;990;3;44;13,4;1800;45,14
67;ESTANDAR 18;984;3;44;13,4;1800;
68;ESTANDAR 18;978;3;44;13,4;1800;46,97
69;ESTANDAR 18;979;3;44;13,4;1800;
70;ESTANDAR 900;928;3;42;13,4;1800;48,45
71;ESTANDAR 900;944;3;42;13,4;1800;46,4
72;ESTANDAR 900;944;3;40;13,4;1800;46,06
73;ESTANDAR 900;932;3;40;13,4;1800;46,51
74;ESTANDAR 900;941;3;40;13,4;1800;45,37
75;LIGHT 16;981;;;;;
76;LIGHT 16;985;;;;;
77;LIGHT 16;944;;;;;
78;LIGHT 16;965;;;;;
79;LIGHT 16;941;;;;;
80;LIGHT 16;960;;;;;
81;LIGHT 16;960;;;;;
82;LIGHT 16;957;;;;;
83;ESTANDAR 900;946;3;41;13,4;1800;46,97
84;ESTANDAR 900;943;3;41;13,4;1800;45,14
85;ESTANDAR 900;944;3;41;13,4;1800;44,92
86;ESTANDAR 900;925;3;41;13,4;1800;46,06
87;ESTANDAR 900;932;3;44;13,4;1800;48,11
88;AZTECA 18;993;9;;;;
89;AZTECA 18;1001;9;;;;
90;AZTECA 18;1004;9;;;;
91;AZTECA 18;1001;9;;;;
92;ESTANDAR 18;989;4;59;13,4;2400;54,83
93;ESTANDAR 18;988;0;0;13,4;2400;0
94;ESTANDAR 18;963;4;69;13,4;2400;66,01
95;ESTANDAR 18;980;4;69;13,4;2400;65,09
96;AZTECA 18;998;9;;;;
97;AZTECA 18;1000;9;;;;
98;AZTECA 18;1000;9;;;;
99;AZTECA 18;1010;9;;;;
100;ESTANDAR 18;990;4;65;13,4;2400;62,02
101;ESTANDAR 18;994;4;65;13,4;2400;60,53
102;ESTANDAR 18;990;4;66;13,4;2400;60,76
103;ESTANDAR 18;990;0;0;;0;0
104;ESTANDAR 18;990;3;45;13,4;1800;
105;ESTANDAR 18;990;3;45;13,4;1800;
106;ESTANDAR 18;989;3;45;13,4;1800;
107;ESTANDAR 18;988;3;40;13,4;1800;
108;ESTANDAR 900;945;3;42;13,4;1800;47,77
109;ESTANDAR 900;950;4;60;13,4;2400;58,94
110;ESTANDAR 900;944;4;60;13,4;2400;61,67
111;ESTANDAR 900;943;4;67;13,4;0;64,18
112;ESTANDAR 900;942;0;0;13,4;2400;0
113;ESTANDAR 18;988;3;44;13,4;1800;
114;ESTANDAR 18;988;3;44;13,4;1800;
115;ESTANDAR 18;989;3;44;13,4;1800;
116;ESTANDAR 18;990;3;44;13,4;1800;
117;ESTANDAR 900;935;3;41;13,4;1800;47,2
118;ESTANDAR 900;950;3;41;13,4;1800;46,28
119;ESTANDAR 900;953;3;40;13,4;1800;44,69
120;ESTANDAR 900;944;3;42;13,4;1800;45,03
121;ESTANDAR 900;945;3;40;13,4;1800;45,14
122;LIGHT 16;936;;;;;
123;LIGHT 16;945;;;;;
124;LIGHT 16;940;;;;;
125;LIGHT 16;967;;;;;
126;LIGHT 16;955;;;;;
127;LIGHT 16;946;;;;;
128;LIGHT 16;949;;;;;
129;LIGHT 16;958;;;;;
130;LIGHT 16;955;;;;;
131;LIGHT 16;979;;;;;
132;LIGHT 16;975;;;;;
133;CLUB COLOMBIA;1017;9;28;13,4;;53,5
